,dataset,f1,pr_auc,roc_auc,tpr,fpr,precision,accuracy,training_time(sec),Inference_time(sec),folds_best_params
8,stdb_308_0.csv,0.2726407559,0.1222222196,0.2121212031,0.6933333123,0.8289090834,0.1703336984,0.7333333333,16496.728,28.2511,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
9,stdb_308_0.csv,0.3117522166,0.09375000251,0.3636363467,0.7949999761,0.8339999924,0.1945092838,0.7333333333,15996.5424,33.488,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 4, 'batch_size': None}"
0,xmitdb_x108_0.csv,0.5644508056,0.4077380651,0.4999999775,0.7949166467,0.7881999842,0.5064710179,0.2222222222,20238.6909,34.1621,"{'seq_length': 32, 'dim': 2, 'high': 5, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
1,xmitdb_x108_0.csv,0.6005650265,0.3944444269,0.3916666462,0.8335666472,0.8767499781,0.4779603109,0.2857142857,19200.9363,36.4915,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
2,xmitdb_x108_0.csv,0.420467796,0.1894841225,0,0.6856666492,0.8855999823,0.3033055522,0,15634.6875,29.0373,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
3,xmitdb_x108_0.csv,0.6264653461,0.5104166354,0.8499999551,0.9582499732,0.8263999835,0.4873214202,0.375,14671.1096,30.657,"{'seq_length': 32, 'dim': 2, 'high': 5, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
4,xmitdb_x108_0.csv,0.6457618476,0.2722222113,0.5333333049,0.8165333155,0.7574999811,0.6102333186,0.2857142857,14928.7758,26.5475,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
5,xmitdb_x108_0.csv,0.5798499741,0.4722221848,0.6999999602,0.9008333074,0.8533999829,0.4587960233,0.2857142857,16193.5956,31.9077,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
6,xmitdb_x108_0.csv,0.5708602637,0.4119047315,0.5666666389,0.8617499773,0.8647999827,0.4576666582,0.25,15396.2691,47.1653,"{'seq_length': 32, 'dim': 2, 'high': 9, 'l1': 0.003, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
7,xmitdb_x108_0.csv,0.6337048497,0.4811507632,0.5166666399,0.8004333158,0.7634999809,0.6110507781,0.2857142857,16352.3387,27.8973,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
8,xmitdb_x108_0.csv,0.5707951911,0.1999999989,0.2499999813,0.8479999777,0.8979999776,0.433901582,0.3333333333,16496.1619,28.7775,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
9,xmitdb_x108_0.csv,0.6319697852,0.4399999723,0.5499999678,0.8313333118,0.7447499814,0.6044063338,0.3333333333,15942.1628,29.6155,"{'seq_length': 32, 'dim': 2, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 2, 'batch_size': None}"
0,cardio.csv,0.0864893254,0.07495613235,0.4312499881,0.4449999889,0.4987249988,0.04827473305,0.9090909091,4647.0502,10.5836,"{'seq_length': 8, 'dim': 22, 'high': 10, 'l1': 0.001, 'epochs': 1, 'steps_per_epoch': 9, 'batch_size': None}"
